rain_7d_mm,et0_7d_mm,temp_high_f,temp_low_f,humidity_pct,forecast_precip_mm_d0,forecast_precip_prob_d0,forecast_precip_mm_d1_d2,forecast_temp_max_c,days_since_watered,maturity_days,seedling_frac,kc_avg,mm_day_avg,sand_pct,clay_pct,bed_area_m2,water_mm_today
30,45,85,75,50,25,0,5,40,2,7,1.0,1.05,4.0,33,33,1.5,0.62
15,10,85,65,30,25,60,0,18,4,7,1.0,0.85,2.0,15,33,1.5,0.88
5,10,105,55,50,2,60,0,18,2,21,0.0,1.05,4.0,15,50,1.5,2.33
5,10,85,55,70,0,30,5,18,1,90,1.0,0.6,2.0,33,33,3.0,0.0
60,20,105,45,70,25,0,0,40,4,90,1.0,0.6,6.0,50,33,1.5,0.0
0,30,105,55,30,2,60,20,33,4,45,0.5,1.2,2.0,50,15,6.0,7.19
5,45,95,55,90,10,90,5,40,0,45,0.5,1.05,5.0,33,15,6.0,0.0
30,10,60,45,30,25,0,20,33,1,7,1.0,1.05,2.0,33,33,6.0,0.49
0,30,105,65,70,0,30,0,40,1,7,0.5,1.05,2.0,33,50,1.5,6.54
30,10,105,65,30,2,60,20,33,2,45,0.0,0.85,4.0,50,50,3.0,0.74
0,10,105,55,90,25,90,5,25,2,45,1.0,1.05,2.0,15,15,1.5,1.62
60,10,60,65,90,25,90,20,40,4,45,0.0,0.6,5.0,33,15,3.0,0.0
60,30,60,55,90,0,0,0,33,1,21,0.5,1.05,5.0,15,15,3.0,0.0
30,20,75,75,50,10,0,5,18,4,7,0.5,0.6,5.0,50,33,6.0,0.0
15,10,95,45,70,2,90,20,33,0,90,0.0,0.85,6.0,50,33,6.0,0.4
0,45,85,65,50,10,30,0,18,7,21,0.5,1.05,4.0,15,15,1.5,35.85
5,10,75,75,90,25,60,20,33,1,90,0.0,1.2,6.0,50,33,3.0,0.31
60,10,85,45,70,25,90,0,18,2,45,0.0,0.6,6.0,33,50,6.0,0.79
0,45,105,55,70,25,30,0,40,0,45,1.0,0.6,4.0,15,15,6.0,0.0
30,45,105,55,70,10,60,5,40,2,7,1.0,1.05,2.0,33,15,6.0,0.0
60,20,85,45,50,10,60,20,40,1,7,0.5,1.2,5.0,15,50,6.0,0.0
60,10,95,65,30,10,60,0,25,2,90,0.0,0.85,4.0,15,15,3.0,0.13
60,10,85,55,90,2,30,0,25,4,7,0.5,1.05,4.0,33,50,3.0,0.0
30,20,105,55,70,25,30,5,40,4,45,0.5,1.2,4.0,15,50,1.5,0.11
30,30,105,45,30,10,0,0,33,4,21,0.5,0.6,4.0,33,33,1.5,0.0
30,10,95,65,50,25,0,5,25,0,45,0.0,1.05,4.0,15,15,3.0,0.49
5,45,95,45,30,0,60,0,25,7,90,0.0,1.05,4.0,33,15,1.5,40.0
5,45,105,75,30,0,90,20,18,7,21,1.0,0.85,5.0,33,15,6.0,15.77
5,10,105,65,30,0,90,5,18,4,45,0.5,0.6,5.0,15,33,1.5,4.62
0,30,75,45,70,10,30,20,40,4,21,0.0,0.6,6.0,15,33,1.5,2.89
0,30,85,75,90,10,0,20,25,2,45,0.0,1.05,5.0,15,33,3.0,2.57
30,45,95,65,50,25,90,5,33,0,90,0.0,1.2,4.0,50,33,3.0,0.36
15,30,95,75,50,25,60,5,18,2,90,0.5,0.6,2.0,50,50,3.0,0.27
15,20,60,55,90,0,30,0,25,2,45,0.5,0.6,4.0,50,33,3.0,0.0
60,20,105,65,90,10,60,0,18,0,21,0.5,1.2,2.0,33,33,6.0,0.61
30,20,105,65,90,2,0,0,18,4,21,1.0,1.2,2.0,50,33,6.0,0.0
60,30,85,55,50,10,30,0,25,1,21,0.5,0.6,5.0,50,50,3.0,0.15
30,20,105,45,30,10,90,20,40,7,90,0.5,0.6,4.0,33,50,1.5,0.0
15,20,105,55,50,25,0,0,25,2,21,0.0,1.05,4.0,33,50,3.0,0.23
0,30,75,65,50,10,0,20,25,7,21,0.0,1.05,2.0,15,15,1.5,8.69
15,20,105,75,30,25,60,20,33,4,21,1.0,1.2,5.0,33,15,6.0,2.56
0,20,95,75,90,25,30,5,25,2,45,1.0,1.05,6.0,15,33,6.0,1.93
30,10,85,75,50,2,0,0,33,4,90,0.0,0.85,5.0,50,50,3.0,0.0
5,20,95,75,90,10,90,0,18,4,90,0.0,0.85,5.0,15,15,3.0,5.96
30,30,105,45,30,25,30,5,33,4,45,0.0,1.2,2.0,50,50,1.5,0.03
15,30,60,75,90,10,0,0,18,4,45,0.5,1.05,4.0,15,50,6.0,7.47
0,20,85,75,90,2,30,5,33,1,90,1.0,1.05,5.0,50,50,6.0,3.17
30,30,95,45,70,10,0,5,33,0,90,0.5,0.85,2.0,50,33,1.5,0.0
30,20,75,45,30,2,0,5,33,4,21,0.5,0.85,6.0,50,50,3.0,0.0
0,20,105,55,70,25,90,5,25,4,45,1.0,1.05,5.0,50,33,1.5,5.46
15,20,85,65,50,25,60,5,33,7,45,0.5,0.6,6.0,33,33,1.5,3.37
15,10,85,45,70,25,60,20,40,1,21,1.0,1.05,5.0,15,15,6.0,0.0
0,20,75,45,30,25,60,20,40,0,21,0.0,0.85,6.0,50,33,3.0,0.0
5,30,85,65,30,0,30,20,18,1,90,0.0,0.6,6.0,33,15,6.0,1.11
0,10,85,45,70,10,90,20,40,1,90,0.5,0.85,2.0,33,15,6.0,0.12
30,30,75,45,70,10,30,0,40,4,45,0.0,1.2,2.0,15,15,3.0,0.0
15,45,75,75,70,10,60,20,18,2,45,1.0,0.85,2.0,50,15,3.0,0.34
15,20,95,65,30,10,60,20,25,1,21,0.5,0.85,6.0,50,50,3.0,0.0
30,20,75,45,90,10,0,20,18,0,21,1.0,0.85,4.0,33,50,3.0,0.32
0,20,105,75,30,25,0,5,25,7,90,0.5,0.6,6.0,50,33,6.0,4.86
0,20,105,45,30,25,60,20,18,7,7,0.0,1.2,2.0,33,33,1.5,7.85
5,45,85,75,90,25,90,0,25,2,7,0.0,1.2,4.0,50,15,1.5,4.02
30,45,105,75,50,2,90,5,25,2,21,1.0,0.6,2.0,50,33,6.0,0.0
0,20,75,45,30,0,90,20,18,1,7,0.5,1.2,4.0,50,15,1.5,2.0
5,30,105,65,50,10,30,20,25,4,45,0.5,0.6,4.0,50,50,3.0,5.07
60,45,60,65,90,10,90,5,25,2,90,0.0,1.2,4.0,15,33,6.0,0.34
0,45,95,55,90,2,60,0,33,0,90,0.5,0.6,4.0,15,33,3.0,0.44
60,10,60,55,50,25,30,5,33,0,21,0.0,0.6,6.0,15,50,6.0,0.0
5,30,85,75,90,10,60,5,33,7,90,0.5,0.6,6.0,33,15,3.0,8.63
15,45,60,55,50,0,60,20,40,2,21,0.0,1.05,4.0,33,50,1.5,0.0
15,30,95,75,90,2,60,0,25,7,90,0.0,0.6,2.0,15,50,1.5,18.77
0,45,75,55,30,2,0,0,40,2,7,1.0,1.2,6.0,15,15,6.0,18.38
60,30,105,65,30,25,30,0,18,7,21,0.0,0.85,5.0,33,33,3.0,0.0
0,30,95,75,50,2,60,20,18,0,7,0.5,1.2,6.0,50,33,1.5,0.0
0,45,95,65,30,0,30,0,40,2,7,0.0,1.05,2.0,15,33,1.5,15.61
5,20,95,45,70,2,30,20,40,7,45,0.5,0.85,2.0,50,50,3.0,6.37
0,30,105,75,70,0,60,5,40,1,45,1.0,1.2,6.0,15,50,6.0,7.13
30,10,105,65,50,0,0,5,25,4,21,1.0,1.2,5.0,33,15,1.5,0.43
15,30,60,55,30,2,90,5,40,0,7,0.0,1.05,2.0,50,50,3.0,0.01
30,10,85,75,90,0,30,20,25,4,21,0.0,1.05,5.0,33,33,1.5,0.49
30,30,95,45,70,10,30,20,40,7,21,0.5,0.6,4.0,33,15,3.0,0.9
15,45,85,75,70,25,30,5,33,7,21,0.5,1.05,4.0,33,33,3.0,14.56
60,20,85,75,70,25,60,0,25,7,21,1.0,0.6,6.0,50,15,3.0,0.0
15,10,95,75,50,10,30,5,25,4,90,0.0,1.2,6.0,50,33,6.0,0.0
30,10,85,45,30,2,60,0,18,7,90,0.5,1.2,2.0,15,15,3.0,0.0
5,20,95,65,90,25,30,5,18,4,7,0.5,1.2,2.0,15,50,1.5,4.47
5,45,85,75,30,25,90,5,18,2,7,1.0,0.6,2.0,33,50,1.5,2.77
5,20,105,55,50,10,90,5,25,4,21,0.0,1.2,6.0,15,50,6.0,7.54
30,45,60,55,50,10,0,20,18,7,21,0.5,1.05,4.0,33,15,3.0,8.62
30,30,105,75,90,0,60,5,40,7,21,1.0,1.05,2.0,50,15,3.0,21.27
5,30,75,75,90,2,90,5,25,4,21,1.0,0.85,6.0,33,15,1.5,13.93
15,45,105,45,70,0,90,0,25,4,90,0.5,1.2,6.0,50,33,3.0,35.99
5,30,60,65,50,10,30,5,40,7,7,1.0,0.6,5.0,50,33,6.0,9.92
0,45,105,55,90,0,30,5,18,4,45,0.5,0.6,6.0,15,15,1.5,18.7
15,45,75,55,50,2,0,20,33,7,45,1.0,0.85,5.0,50,33,3.0,11.49
60,30,105,45,50,25,0,5,25,1,21,0.0,1.05,4.0,50,33,3.0,0.44
30,45,95,45,30,25,60,20,33,4,90,0.5,0.6,2.0,50,33,6.0,0.55
15,10,105,75,50,25,30,5,33,2,45,0.5,0.85,6.0,33,50,1.5,0.67
30,10,60,55,90,25,0,5,25,1,45,0.0,1.05,2.0,50,33,3.0,0.2
0,30,75,45,90,10,30,5,18,0,7,0.0,1.2,2.0,15,50,1.5,0.0
0,30,60,75,50,25,0,0,40,0,7,0.0,1.05,5.0,33,15,3.0,0.0
5,20,60,45,50,25,60,20,25,1,90,1.0,1.2,4.0,15,15,1.5,0.15
30,30,95,65,50,2,60,20,18,1,45,1.0,0.6,5.0,15,50,6.0,0.0
60,20,95,65,30,2,90,5,18,1,90,1.0,0.6,2.0,33,33,1.5,0.0
30,30,105,55,90,0,0,20,18,0,45,0.0,0.6,2.0,33,50,3.0,0.62
60,45,95,75,30,2,60,0,33,0,21,0.0,1.05,6.0,50,50,6.0,0.0
30,20,60,55,30,25,0,5,18,2,21,0.0,0.6,4.0,50,15,1.5,0.0
30,30,105,65,50,10,30,20,33,0,7,0.5,1.2,5.0,50,15,3.0,0.0
0,45,95,65,30,25,30,5,25,2,7,1.0,0.6,4.0,50,50,1.5,2.37
0,10,75,45,90,10,90,0,25,0,90,0.0,1.05,4.0,33,50,3.0,0.0
15,10,105,45,50,2,0,5,18,4,45,0.5,1.05,2.0,50,33,1.5,0.2
15,20,85,65,50,25,60,20,40,1,21,0.0,0.6,6.0,15,15,6.0,0.0
0,30,60,75,70,0,30,20,25,4,90,0.0,0.85,5.0,15,15,1.5,4.43
60,45,85,75,30,0,30,20,40,0,7,0.5,0.85,4.0,33,33,3.0,0.45
15,30,95,65,50,0,30,0,18,1,7,0.0,1.2,6.0,33,33,1.5,0.0
60,30,75,75,70,25,60,0,18,1,45,1.0,0.6,4.0,33,15,1.5,0.0
30,10,85,65,50,0,90,5,25,0,90,0.0,0.85,2.0,15,15,1.5,0.0
5,20,95,65,30,10,0,0,18,1,90,0.0,0.6,5.0,15,15,3.0,1.08
30,45,95,45,90,25,30,5,25,1,45,0.5,1.2,4.0,15,50,6.0,0.36
60,20,85,75,90,25,0,0,33,4,21,0.5,0.85,4.0,50,50,1.5,0.87
15,45,105,75,70,10,90,5,25,0,45,1.0,0.85,2.0,33,15,3.0,0.0
60,30,105,55,50,0,30,20,25,2,7,0.0,1.2,5.0,15,15,1.5,0.0
15,10,85,55,50,25,60,0,40,0,7,0.0,0.85,4.0,15,50,3.0,0.0
0,30,105,55,50,10,30,5,18,0,21,1.0,0.85,2.0,50,33,1.5,0.0
30,10,85,65,70,2,30,20,40,4,45,0.0,1.05,4.0,50,50,1.5,0.85
30,30,85,55,50,0,90,20,18,1,45,1.0,0.85,2.0,33,15,3.0,0.0
15,20,60,65,90,0,60,0,25,0,45,0.5,0.6,2.0,15,33,3.0,0.0
30,20,95,75,90,10,90,0,40,7,21,0.0,1.2,2.0,15,33,1.5,5.24
0,30,75,75,50,0,0,5,40,0,90,1.0,0.85,6.0,15,15,1.5,1.12
15,20,75,75,70,10,60,0,18,0,90,1.0,1.2,4.0,15,33,1.5,0.0
60,45,75,45,30,2,30,20,33,0,90,0.0,1.05,6.0,33,33,6.0,0.18
15,10,105,75,50,10,90,5,25,4,7,0.5,1.2,6.0,33,15,3.0,0.0
0,10,85,75,50,0,90,20,40,7,90,1.0,0.85,6.0,33,15,3.0,2.93
0,20,60,75,50,2,30,0,25,0,90,0.0,1.2,4.0,50,15,6.0,0.0
0,10,95,75,70,10,90,0,40,0,90,0.0,0.85,2.0,15,50,1.5,1.1
15,30,95,65,90,25,90,0,25,2,90,0.0,1.2,2.0,33,33,6.0,0.06
15,30,60,65,70,10,60,5,18,1,21,0.5,1.2,5.0,33,50,3.0,0.82
60,10,75,75,50,25,90,20,33,0,21,0.0,1.05,6.0,15,50,6.0,0.32
5,10,75,45,90,0,60,20,25,2,45,0.5,1.2,2.0,50,15,1.5,0.76
15,45,105,75,50,25,60,5,25,2,7,0.5,0.6,6.0,15,15,6.0,0.06
5,20,75,65,90,0,0,5,25,1,7,0.0,1.05,5.0,50,50,6.0,0.0
15,45,95,65,90,10,30,5,33,7,90,1.0,0.6,2.0,50,50,3.0,15.6
15,30,60,75,30,10,60,20,33,2,45,1.0,1.05,4.0,15,50,1.5,0.0
0,45,85,55,30,25,60,5,40,4,90,1.0,0.6,4.0,33,50,6.0,5.62
30,30,105,65,50,2,60,0,40,1,45,1.0,0.85,5.0,50,15,1.5,0.61
15,20,85,75,70,10,60,20,33,4,7,0.5,0.6,2.0,33,15,6.0,0.55
60,30,95,45,50,2,30,5,40,7,90,0.0,1.05,4.0,15,33,3.0,0.52
5,30,60,45,90,10,30,0,25,4,7,0.0,1.2,6.0,33,33,3.0,12.24
5,30,60,65,50,0,0,20,25,1,45,0.5,0.85,2.0,33,50,6.0,0.28
15,20,60,45,70,10,90,20,33,4,21,0.5,1.2,5.0,15,15,3.0,2.28
5,20,60,55,30,10,0,5,33,7,7,1.0,0.6,2.0,50,15,1.5,6.28
0,45,95,75,30,10,90,20,25,1,7,0.5,1.2,2.0,50,50,3.0,2.1
30,10,105,45,70,0,0,5,25,7,21,0.5,0.85,5.0,50,33,3.0,0.0
5,10,105,75,50,25,60,0,18,0,7,0.0,1.2,4.0,15,50,1.5,0.0
15,20,95,65,70,25,0,0,25,0,45,0.5,1.05,6.0,50,15,1.5,0.0
0,10,75,55,70,10,90,20,33,0,45,0.5,0.85,2.0,33,33,3.0,0.0
30,45,75,45,50,0,30,0,40,7,90,1.0,1.2,4.0,50,33,3.0,40.0
60,10,75,75,90,0,90,5,18,0,45,1.0,1.05,2.0,50,50,6.0,0.07
60,20,85,45,90,2,90,5,40,1,7,0.0,0.85,6.0,33,15,1.5,0.0
30,30,75,65,70,0,30,20,40,4,21,0.0,1.2,6.0,50,33,1.5,0.34
0,45,60,45,90,25,0,20,18,0,45,1.0,0.85,6.0,33,33,1.5,0.0
5,45,85,75,70,25,0,0,25,0,45,0.5,1.05,5.0,50,15,1.5,0.46
30,10,85,55,50,0,90,0,40,1,45,0.0,1.2,2.0,50,50,6.0,0.0
0,45,95,55,90,0,0,20,40,7,90,1.0,0.85,4.0,50,15,1.5,14.4
15,45,95,55,70,25,60,5,40,1,21,0.5,1.05,5.0,50,50,6.0,0.44
5,20,75,65,70,2,30,20,33,0,45,1.0,1.2,6.0,50,50,6.0,0.0
0,10,60,75,50,0,0,0,33,1,45,1.0,1.05,4.0,15,50,3.0,2.89
5,10,85,75,30,2,90,0,33,0,90,0.5,1.2,5.0,50,15,1.5,0.0
30,20,85,55,50,10,90,0,18,1,21,1.0,0.6,6.0,15,33,3.0,0.0
60,30,75,55,70,0,60,5,25,0,21,0.5,0.6,5.0,33,50,6.0,0.0
15,20,75,45,50,25,90,0,33,1,21,1.0,1.05,5.0,33,33,1.5,0.68
60,45,105,45,30,10,90,0,25,0,45,0.5,0.6,6.0,33,50,6.0,0.0
15,45,95,45,70,2,60,20,18,0,21,1.0,0.6,2.0,15,50,6.0,1.08
5,45,60,55,90,0,30,0,40,2,7,0.0,0.6,2.0,15,33,6.0,7.55
15,45,95,75,90,25,60,0,40,0,7,1.0,0.6,2.0,50,15,3.0,0.4
60,10,85,65,30,10,90,5,40,0,90,0.0,0.85,4.0,50,33,6.0,0.0
15,30,60,55,30,0,0,20,40,7,7,0.5,0.85,5.0,15,33,6.0,7.72
60,20,75,55,50,10,30,0,25,7,7,1.0,1.2,2.0,33,50,1.5,0.0
60,45,85,65,50,2,0,5,18,1,45,0.5,1.2,5.0,50,50,3.0,0.33
60,20,105,65,70,25,30,0,33,1,21,1.0,1.2,5.0,33,15,6.0,0.0
30,45,85,65,90,0,30,20,18,2,21,1.0,0.85,5.0,50,50,1.5,0.0
0,10,105,45,90,2,0,20,33,7,90,1.0,0.85,5.0,33,15,6.0,3.55
30,10,95,65,30,2,30,20,25,4,21,0.0,0.85,6.0,33,15,1.5,0.0
30,20,60,65,70,2,0,20,25,7,45,0.5,1.2,6.0,15,15,6.0,1.95
60,30,85,55,90,25,60,20,18,7,45,0.5,0.85,6.0,33,33,3.0,0.7
30,10,105,55,90,2,30,0,33,1,21,0.0,0.85,5.0,50,50,1.5,0.0
15,10,95,75,90,2,30,20,40,0,21,0.0,0.85,4.0,15,50,6.0,0.0
0,20,60,55,70,2,90,20,18,2,7,0.0,1.2,6.0,33,15,1.5,2.04
60,20,105,65,50,10,90,20,18,1,90,0.5,0.85,2.0,15,15,6.0,0.0
60,45,75,45,50,25,0,20,18,0,90,1.0,0.85,2.0,50,50,3.0,0.0
0,45,75,75,90,10,0,5,25,2,90,0.0,0.6,5.0,50,50,3.0,3.02
15,20,60,45,30,0,90,20,25,2,90,0.5,0.6,4.0,33,50,6.0,0.0
30,30,105,65,90,2,90,20,40,1,45,1.0,1.2,5.0,33,50,3.0,0.98
30,20,60,55,90,2,0,0,40,2,7,0.0,1.2,2.0,15,15,3.0,0.48
0,30,75,65,30,0,90,5,33,7,7,0.0,1.2,6.0,15,15,6.0,28.56
60,30,75,45,50,2,0,5,25,0,21,0.0,1.05,6.0,33,50,3.0,0.0
0,10,60,65,70,10,60,0,25,4,90,1.0,0.6,5.0,15,33,6.0,2.86
0,10,105,65,70,0,60,20,33,4,90,1.0,1.2,4.0,33,33,6.0,2.25
0,45,60,65,30,25,30,20,25,2,90,0.5,0.6,5.0,15,33,1.5,2.38
30,30,60,55,90,10,60,0,33,1,21,0.5,0.85,4.0,50,15,3.0,0.09
5,30,75,45,30,0,90,20,18,7,7,0.5,1.05,5.0,33,50,3.0,9.38
30,20,105,65,90,2,30,0,40,4,7,1.0,1.05,6.0,50,15,3.0,0.77
30,30,60,45,50,25,0,5,33,7,45,0.0,1.05,4.0,33,33,6.0,3.76
15,30,75,75,90,2,90,20,33,2,90,0.5,1.2,4.0,50,15,6.0,0.0
15,20,105,75,90,2,30,20,25,4,7,0.0,1.2,6.0,15,50,6.0,1.34
60,30,95,65,70,0,90,0,25,0,21,0.5,1.2,2.0,33,50,3.0,0.0
60,30,85,45,90,0,60,20,25,7,21,0.5,1.05,5.0,50,50,3.0,0.47
30,10,95,65,90,2,30,20,33,4,90,0.0,0.6,4.0,33,15,3.0,0.0
15,45,85,75,70,25,90,0,25,0,21,1.0,0.85,5.0,50,50,6.0,0.38
0,20,75,75,30,0,0,5,18,0,90,1.0,0.6,2.0,33,50,1.5,1.0
30,30,75,55,70,25,30,0,25,0,7,1.0,1.05,5.0,33,33,6.0,0.59
15,45,75,55,90,25,60,5,40,7,21,0.0,1.2,5.0,33,33,3.0,13.29
60,20,85,65,90,0,90,5,33,0,90,0.5,0.85,2.0,50,33,1.5,0.06
30,45,95,55,50,25,90,0,33,0,90,1.0,0.85,5.0,33,50,6.0,0.0
5,10,75,55,70,0,90,20,40,2,90,0.0,1.05,2.0,15,15,6.0,0.42
0,20,60,65,70,2,90,20,18,1,7,0.0,0.6,6.0,15,33,3.0,0.09
15,45,60,65,30,2,0,5,40,0,90,0.0,0.85,5.0,33,15,1.5,0.83
5,45,95,55,30,2,90,20,18,7,21,0.5,1.2,5.0,33,15,6.0,18.52
60,10,85,75,70,2,60,0,25,0,21,1.0,1.2,5.0,15,15,3.0,0.0
60,10,95,55,30,0,90,20,25,2,7,0.0,0.85,6.0,15,50,6.0,0.0
0,10,85,55,30,2,90,0,33,7,45,0.5,0.85,2.0,50,33,3.0,11.02
5,30,60,75,90,10,90,0,25,7,45,0.5,1.2,5.0,50,50,1.5,25.1
15,30,105,65,90,0,90,20,25,0,45,1.0,0.85,5.0,50,15,6.0,0.12
60,45,75,75,50,10,60,5,33,0,7,1.0,0.6,2.0,15,15,1.5,0.17
0,10,105,75,90,10,0,5,25,7,7,0.0,0.85,6.0,15,33,6.0,4.97
0,30,105,75,70,0,60,20,18,0,45,0.0,0.85,2.0,15,50,1.5,0.0
60,20,105,55,90,0,60,20,40,4,7,0.0,0.85,6.0,50,33,6.0,0.0
5,45,85,65,70,10,90,20,40,2,21,1.0,0.85,6.0,50,50,3.0,3.2
30,10,60,65,30,2,60,0,33,1,21,0.5,0.6,5.0,50,50,6.0,0.42
60,20,60,45,90,10,30,0,33,2,21,0.0,1.05,5.0,15,50,3.0,0.0
0,30,95,55,90,0,60,0,40,0,7,0.5,1.05,6.0,33,15,1.5,0.0
60,10,95,45,70,0,60,20,25,2,21,0.0,0.6,6.0,33,50,6.0,0.0
15,45,75,55,70,0,90,20,18,7,90,0.5,0.6,6.0,50,33,6.0,7.46
5,20,95,55,90,25,30,20,25,1,7,0.5,1.2,5.0,50,50,1.5,0.54
15,30,75,65,70,0,60,0,33,7,90,1.0,0.85,6.0,15,15,1.5,32.19
15,20,60,45,30,2,30,5,18,2,7,0.5,1.2,6.0,15,33,1.5,0.0
